source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-07-28 19:45,St. Gilloise,Anderlecht,2,0,1,0,H,10,5,3,2,3,3,16,13,5,3,0,0,,2.22,3.63,3.24,1.86,2.02,2.03,1.86,1.95,3.4,3.5,2.11,3.65,3.95,1.97,2.05
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-07-29 15:00,Eupen,Westerlo,2,2,1,0,D,13,22,6,5,1,4,14,7,1,0,0,0,,3.56,3.56,2.12,1.92,1.95,1.98,1.91,3.1,3.4,2.15,3.46,3.76,2.21,1.8,2.23
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-07-29 17:15,Charleroi,Oud-Heverlee Leuven,1,1,1,0,D,4,19,2,5,2,6,7,12,3,1,1,0,,2.03,3.73,3.65,1.79,2.09,1.86,2.03,2.05,3.5,3.2,2.35,3.82,3.37,1.66,2.35
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-07-29 19:45,RWD Molenbeek,Genk,0,4,0,3,A,10,28,4,10,2,6,11,11,1,0,0,0,,3.67,3.9,1.98,1.75,2.14,1.8,2.09,3.0,3.8,2.05,3.71,4.0,2.12,1.66,2.46
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-07-30 12:30,Antwerp,Cercle Brugge,1,0,1,0,H,15,8,4,1,7,7,15,13,0,2,0,0,,1.85,3.6,4.36,1.88,1.95,2.05,1.84,1.73,3.6,4.33,1.95,3.85,4.48,1.9,2.11
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-07-30 15:00,Gent,Kortrijk,3,2,2,1,H,17,10,4,3,7,5,5,9,1,4,0,0,,1.33,5.51,8.63,1.59,2.39,1.94,1.93,1.25,5.75,9.5,1.3,6.51,11.5,1.48,2.92
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-07-30 17:30,Club Brugge,Mechelen,1,1,0,1,D,21,9,5,2,4,3,8,9,2,2,1,0,,1.47,4.68,6.33,1.6,2.38,2.03,1.87,1.45,4.75,5.25,1.49,5.59,8.6,1.48,2.79
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-07-30 18:15,St Truiden,Standard,1,0,0,0,H,11,7,3,3,3,2,13,11,1,1,0,0,,2.71,3.27,2.71,2.09,1.76,2.01,1.88,2.75,3.2,2.7,2.97,3.4,2.74,2.22,1.8
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-04 19:45,Standard,St. Gilloise,0,1,0,1,A,8,24,3,8,2,13,9,12,4,1,1,0,,3.87,3.67,1.98,1.76,2.13,1.88,2.0,3.75,3.5,1.95,3.93,3.83,2.1,1.93,2.12
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-05 15:00,Genk,Eupen,0,1,0,1,A,28,5,3,2,7,2,11,11,1,2,0,0,,1.29,6.28,9.53,1.47,2.74,1.9,1.99,1.33,5.25,9.0,1.36,6.0,9.5,1.42,3.1
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-05 17:15,Cercle Brugge,Charleroi,2,0,2,0,H,19,8,3,3,4,5,11,13,0,3,0,0,,1.92,3.8,3.98,1.74,2.17,1.97,1.92,1.73,4.0,4.5,1.79,4.2,4.59,1.7,2.31
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-05 19:45,Oud-Heverlee Leuven,RWD Molenbeek,1,2,1,1,A,18,15,5,4,15,6,14,18,4,1,0,0,,1.82,4.01,4.23,1.66,2.29,1.85,2.05,2.05,3.8,3.2,2.2,4.1,3.4,1.45,3.05
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-06 12:30,Anderlecht,Antwerp,1,0,1,0,H,9,5,2,3,3,6,9,19,1,1,0,0,,2.65,3.7,2.55,1.79,2.05,1.96,1.93,3.2,3.4,2.2,3.5,3.6,2.36,1.88,2.07
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-06 15:00,Mechelen,Gent,0,1,0,0,A,14,12,2,3,7,3,14,14,2,3,0,0,,3.78,4.04,1.87,1.6,2.36,1.88,2.01,4.2,4.0,1.73,4.63,4.3,1.81,1.7,2.47
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-06 17:30,Westerlo,Club Brugge,0,1,0,1,A,11,20,3,8,4,5,7,9,1,0,0,0,,3.69,3.7,1.98,1.64,2.29,1.83,2.02,3.6,3.75,2.0,4.09,3.97,2.07,1.68,2.4
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-06 18:15,Kortrijk,St Truiden,0,1,0,0,A,8,14,1,4,0,14,10,12,1,2,0,0,,2.85,3.35,2.53,1.98,1.86,1.92,1.96,2.55,3.4,2.6,2.7,3.58,2.76,2.06,1.99
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-11 19:45,Antwerp,Kortrijk,6,0,4,0,H,25,4,9,1,4,1,8,11,0,2,0,0,,1.26,6.31,11.17,1.51,2.61,1.92,1.95,1.25,5.25,10.0,1.29,6.6,12.6,1.52,2.75
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-12 15:00,RWD Molenbeek,Mechelen,1,0,0,0,H,18,9,8,4,7,4,12,11,3,1,0,0,,2.25,3.89,3.01,1.63,2.36,1.97,1.92,2.55,3.4,2.5,2.7,4.0,2.64,1.68,2.4
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-12 17:15,St. Gilloise,Oud-Heverlee Leuven,5,1,2,1,H,16,4,9,1,0,3,10,15,1,4,0,0,,1.51,4.42,6.74,1.56,2.51,1.98,1.91,1.4,4.2,6.5,1.49,5.1,7.63,1.61,2.63
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-13 12:30,St Truiden,Anderlecht,0,1,0,0,A,14,9,5,3,6,1,13,15,4,5,0,1,,3.46,3.45,2.15,1.97,1.87,1.8,2.11,2.88,3.2,2.38,3.21,3.47,2.63,2.22,1.76
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-13 15:00,Cercle Brugge,Genk,0,1,0,0,A,13,10,2,3,5,3,8,20,2,3,0,0,,2.72,3.73,2.45,1.59,2.39,1.88,2.02,2.4,3.5,2.55,2.52,3.92,2.81,1.6,2.51
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-13 15:00,Eupen,Club Brugge,0,5,0,3,A,9,13,1,7,4,6,9,13,0,2,0,0,,5.62,4.33,1.56,1.58,2.4,2.13,1.77,7.0,4.75,1.33,8.4,5.61,1.45,1.58,2.55
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-13 17:30,Charleroi,Standard,1,1,0,1,D,18,7,3,2,13,2,11,12,3,2,1,1,,2.07,3.64,3.47,1.77,2.07,1.88,2.01,2.1,3.4,3.1,2.22,3.71,3.4,1.9,2.1
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-13 18:15,Westerlo,Gent,1,3,1,1,A,14,18,4,9,4,10,10,14,1,1,0,0,,3.56,3.96,1.95,1.55,2.49,1.96,1.93,4.0,3.4,1.83,4.54,4.1,1.94,1.68,2.43
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-18 19:45,Oud-Heverlee Leuven,Antwerp,1,1,0,1,D,10,13,2,4,7,7,16,10,4,2,1,0,,4.93,4.24,1.67,1.65,2.32,1.88,2.01,5.75,4.2,1.55,5.75,4.43,1.7,1.7,2.39
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-19 15:00,Standard,Cercle Brugge,0,1,0,0,A,7,16,3,4,3,2,10,11,2,2,0,0,,2.94,3.55,2.43,1.75,2.15,2.08,1.83,3.4,3.5,2.1,3.5,3.81,2.23,1.77,2.24
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-19 19:45,Mechelen,St. Gilloise,4,0,1,0,H,10,14,7,1,4,6,9,10,0,2,0,0,,4.29,4.01,1.81,1.66,2.29,1.95,1.93,4.75,3.8,1.7,5.2,4.3,1.74,1.69,2.36
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-20 12:30,Anderlecht,Westerlo,2,1,1,0,H,24,18,7,3,6,2,7,13,1,3,0,0,,1.92,3.59,4.13,1.67,2.23,1.91,1.98,1.67,4.0,4.75,1.76,4.15,5.2,1.69,2.38
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-20 15:00,Genk,Charleroi,0,0,0,0,D,23,7,7,3,11,4,11,13,0,0,0,0,,1.59,4.53,5.02,1.56,2.48,1.99,1.9,1.6,4.0,5.25,1.63,4.6,5.77,1.61,2.5
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-20 15:00,Gent,St Truiden,2,2,1,2,D,19,14,5,3,7,2,11,9,2,2,0,0,,1.44,4.89,6.52,1.72,2.14,1.89,1.99,1.53,4.33,6.0,1.57,4.5,6.5,1.9,2.12
football-data.co.uk,B1,Ліга A,БЕЛЬГІЯ,2023-2024,2023-08-20 17:30,Club Brugge,RWD Molenbeek,7,1,2,1,H,23,9,9,3,8,3,10,12,0,1,0,0,,1.29,5.77,9.29,1.48,2.62,1.82,2.05,1.3,5.75,8.5,1.32,6.25,9.5,1.42,3.22
