source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-05 19:30,Ein Frankfurt,Bayern Munich,1,6,0,5,A,8,23,2,10,5,6,10,11,2,0,0,0,,5.84,5.13,1.52,1.42,3.02,2.0,1.93,6.0,5.0,1.44,6.54,5.4,1.57,1.42,3.19
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-06 14:30,Augsburg,Freiburg,0,4,0,0,A,10,19,2,7,5,8,13,13,0,0,0,0,,3.53,3.59,2.17,1.92,1.99,2.04,1.88,3.4,3.6,2.1,3.68,3.66,2.2,1.93,2.03
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-06 14:30,Bochum,Mainz,1,2,1,1,A,16,13,3,6,3,5,11,16,2,3,0,0,,3.34,3.43,2.32,1.96,1.94,1.95,1.97,3.4,3.4,2.15,3.48,3.55,2.3,1.94,2.05
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-06 14:30,M'gladbach,Hoffenheim,3,1,1,1,H,18,2,8,1,4,2,18,12,1,4,0,1,,2.15,4.22,3.12,1.39,3.2,2.08,1.85,2.0,4.0,3.2,2.21,4.12,3.51,1.47,2.93
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-06 14:30,Union Berlin,Hertha,3,1,1,0,H,18,9,8,3,5,4,23,17,2,3,0,0,,1.79,3.78,4.97,2.06,1.86,1.91,2.01,1.85,3.6,4.2,1.93,3.86,4.87,2.0,2.03
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-06 14:30,Wolfsburg,Werder Bremen,2,2,1,2,D,13,10,3,5,2,5,11,14,2,2,0,0,,1.93,3.7,4.29,1.83,2.07,2.14,1.79,2.05,3.6,3.4,2.15,3.85,4.15,1.81,2.23
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-06 17:30,Dortmund,Leverkusen,1,0,1,0,H,13,8,4,3,3,3,14,13,2,4,0,1,,2.08,4.22,3.28,1.41,3.09,2.09,1.85,2.0,4.1,3.2,2.13,4.24,3.49,1.47,3.18
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-07 14:30,Stuttgart,RB Leipzig,1,1,1,1,D,11,27,2,9,1,9,14,9,2,1,0,0,,4.44,4.12,1.8,1.78,2.15,1.98,1.94,3.6,3.6,2.0,4.1,3.92,2.05,1.83,2.15
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-07 16:30,FC Koln,Schalke 04,3,1,0,0,H,30,6,10,2,9,1,8,10,0,1,0,1,,1.75,4.28,4.58,1.57,2.55,2.11,1.83,2.05,3.75,3.4,2.14,3.9,4.0,1.8,2.26
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-12 19:30,Freiburg,Dortmund,1,3,1,0,A,16,16,7,7,9,2,16,10,1,3,0,0,,3.15,3.83,2.26,1.63,2.4,1.89,2.03,2.9,3.75,2.25,3.23,3.9,2.41,1.63,2.53
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-13 14:30,Hertha,Ein Frankfurt,1,1,1,0,D,11,11,5,1,4,5,11,11,3,1,0,0,,3.12,3.57,2.37,1.82,2.09,1.98,1.94,2.9,3.6,2.3,3.28,3.72,2.44,1.75,2.34
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-13 14:30,Hoffenheim,Bochum,3,2,2,2,H,24,11,13,5,8,2,13,10,1,1,0,0,,1.61,4.5,5.48,1.52,2.65,1.97,1.95,1.55,4.5,5.25,1.68,4.85,5.5,1.55,2.7
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-13 14:30,Leverkusen,Augsburg,1,2,1,1,A,23,6,10,4,7,3,7,16,1,6,0,0,,1.34,5.68,9.74,1.5,2.74,2.03,1.88,1.3,6.0,8.5,1.33,6.3,9.75,1.45,3.19
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-13 14:30,RB Leipzig,FC Koln,2,2,1,1,D,9,12,5,3,2,7,8,18,1,4,1,0,,1.44,4.91,7.76,1.59,2.5,1.94,1.98,1.45,5.0,6.5,1.48,5.35,7.33,1.57,2.79
football-data.co.uk,D1,Бундесліга,НІМЕЧЧИНА,2022-2023,2022-08-13 14:30,Werder Bremen,Stuttgart,2,2,1,1,D,5,14,3,7,2,5,6,10,4,2,0,0,,2.36,3.62,3.1,1.69,2.29,2.01,1.92,2.25,3.6,3.0,2.41,3.69,3.2,1.7,2.34
