source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-13 17:30,Milan,Udinese,4,2,2,2,H,14,9,5,4,5,1,16,13,1,4,0,0,,1.43,4.66,8.84,1.77,2.16,2.02,1.91,1.44,4.75,6.5,1.54,5.05,7.5,1.82,2.28
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-13 17:30,Sampdoria,Atalanta,0,2,0,1,A,11,9,1,3,3,2,13,21,4,6,0,0,,4.72,3.98,1.78,1.73,2.22,2.11,1.82,5.25,4.0,1.61,5.75,4.3,1.73,1.73,2.35
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-13 19:45,Lecce,Inter,1,2,0,1,A,10,19,4,9,6,8,21,19,4,2,0,0,,10.75,5.92,1.31,1.61,2.46,1.91,2.02,8.0,5.25,1.36,10.0,5.7,1.38,1.58,2.7
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-13 19:45,Monza,Torino,1,2,0,1,A,15,13,4,6,2,7,6,17,1,2,0,0,,2.64,3.36,2.9,2.09,1.83,1.8,2.15,2.55,3.1,2.9,2.81,3.38,3.05,2.19,1.83
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-14 17:30,Fiorentina,Cremonese,3,2,2,1,H,27,13,11,4,11,4,10,19,0,3,0,1,,1.39,5.33,8.49,1.63,2.4,2.06,1.87,1.6,4.2,5.25,1.64,4.75,6.5,1.82,2.2
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-14 17:30,Lazio,Bologna,2,1,0,1,H,9,11,6,3,3,2,11,18,2,6,1,1,,1.62,4.29,5.7,1.69,2.29,1.93,2.0,1.7,4.0,4.75,1.75,4.2,5.14,1.73,2.38
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-14 19:45,Salernitana,Roma,0,1,0,1,A,13,20,2,5,4,2,18,9,3,2,0,0,,6.65,4.79,1.5,1.82,2.09,1.88,2.05,6.0,4.75,1.5,7.6,5.0,1.52,1.81,2.23
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-14 19:45,Spezia,Empoli,1,0,1,0,H,9,18,2,5,6,4,15,8,2,1,0,0,,2.61,3.26,3.01,1.94,1.96,2.15,1.81,2.4,3.4,2.87,2.56,3.55,3.02,1.9,2.16
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-15 17:30,Verona,Napoli,2,5,1,2,A,6,25,3,8,4,8,15,6,2,2,0,0,,3.65,3.66,2.1,1.87,2.04,1.89,2.03,3.6,3.6,2.0,4.0,3.92,2.08,1.79,2.26
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-15 19:45,Juventus,Sassuolo,3,0,2,0,H,14,19,4,7,3,2,7,5,1,3,0,0,,1.5,4.83,6.61,1.57,2.54,2.03,1.9,1.45,4.75,6.5,1.52,5.15,7.0,1.58,2.6
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-20 17:30,Torino,Lazio,0,0,0,0,D,10,7,1,2,6,4,11,12,0,5,0,0,,3.08,3.5,2.43,1.92,1.99,2.01,1.91,2.75,3.4,2.5,3.12,3.54,2.68,1.97,2.13
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-20 17:30,Udinese,Salernitana,0,0,0,0,D,15,17,2,6,6,6,9,12,2,4,1,0,,1.77,3.95,4.86,1.79,2.13,1.84,2.1,1.61,4.0,5.0,1.72,4.3,5.31,1.76,2.45
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-20 19:45,Inter,Spezia,3,0,1,0,H,19,2,8,0,10,4,11,7,0,0,0,0,,1.18,8.03,17.56,1.35,3.33,2.06,1.86,1.12,9.0,19.0,1.22,10.25,26.0,1.36,4.0
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-20 19:45,Sassuolo,Lecce,1,0,1,0,H,12,7,3,1,5,4,14,12,5,1,0,0,,1.81,4.14,4.35,1.64,2.39,2.08,1.86,1.8,4.0,3.8,1.87,4.25,4.3,1.54,2.93
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-21 17:30,Empoli,Fiorentina,0,0,0,0,D,4,19,2,2,1,9,13,11,1,3,1,0,,3.89,3.95,1.95,1.71,2.25,1.96,1.96,3.2,3.6,2.15,3.49,3.75,2.29,1.72,2.34
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-21 17:30,Napoli,Monza,4,0,2,0,H,22,4,5,1,10,4,11,13,2,1,0,0,,1.35,5.69,9.07,1.53,2.65,2.01,1.9,1.3,6.0,9.0,1.31,6.5,10.5,1.48,3.19
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-21 19:45,Atalanta,Milan,1,1,1,0,D,11,18,2,7,4,6,15,6,4,3,0,0,,2.87,3.61,2.52,1.78,2.15,1.83,2.12,2.8,3.5,2.4,3.02,3.65,2.53,1.79,2.25
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-21 19:45,Bologna,Verona,1,1,1,1,D,17,19,5,3,9,8,10,14,3,3,1,0,,2.25,3.48,3.44,1.85,2.06,2.07,1.87,2.05,3.5,3.6,2.15,3.6,3.9,1.82,2.23
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-22 17:30,Roma,Cremonese,1,0,0,0,H,27,14,12,3,5,6,7,14,0,3,0,0,,1.24,6.33,14.61,1.64,2.37,1.88,2.03,1.2,6.5,11.0,1.28,7.26,13.0,1.55,2.79
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-22 19:45,Sampdoria,Juventus,0,0,0,0,D,10,10,1,4,3,4,8,14,3,2,0,0,,6.12,4.1,1.62,1.9,2.0,1.98,1.94,5.0,3.8,1.7,6.2,4.1,1.73,2.03,2.03
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-26 17:30,Monza,Udinese,1,2,1,1,A,10,15,5,4,3,5,16,10,3,2,0,0,,3.28,3.45,2.34,1.9,2.01,1.85,2.09,2.9,3.5,2.3,3.37,3.6,2.43,1.83,2.23
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-26 19:45,Lazio,Inter,3,1,1,0,H,11,19,7,7,2,4,5,12,2,1,0,0,,4.21,3.78,1.92,1.72,2.24,1.97,1.95,3.8,3.8,1.85,4.33,3.93,1.97,1.75,2.34
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-27 17:30,Cremonese,Torino,1,2,0,1,A,16,14,6,5,3,3,9,21,0,3,0,0,,3.34,3.46,2.31,2.02,1.88,2.16,1.78,3.6,3.5,2.05,3.95,3.57,2.37,2.11,1.9
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-27 17:30,Juventus,Roma,1,1,1,0,D,14,8,3,4,4,5,16,7,2,2,0,0,,2.49,3.23,3.22,2.15,1.78,2.15,1.81,2.45,3.2,3.0,2.56,3.27,3.35,2.32,1.79
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-27 19:45,Milan,Bologna,2,0,1,0,H,19,8,7,0,5,1,13,9,2,1,0,0,,1.37,5.59,8.58,1.63,2.4,1.99,1.93,1.33,5.5,9.0,1.4,5.8,10.0,1.64,2.53
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-27 19:45,Spezia,Sassuolo,2,2,2,1,D,7,21,2,8,2,6,17,10,2,1,1,0,,3.13,3.73,2.3,1.63,2.4,1.94,1.98,3.1,3.5,2.25,3.48,3.71,2.32,1.73,2.43
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-28 17:30,Salernitana,Sampdoria,4,0,2,0,H,9,17,6,6,6,3,19,14,2,2,0,0,,2.53,3.21,3.18,2.04,1.87,2.07,1.86,2.4,3.1,3.1,2.59,3.3,3.28,2.13,1.87
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-28 17:30,Verona,Atalanta,0,1,0,0,A,14,15,2,7,7,6,15,7,3,3,0,0,,4.49,4.08,1.8,1.66,2.34,1.97,1.95,3.75,4.0,1.9,4.2,4.08,1.97,1.67,2.44
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-28 19:45,Fiorentina,Napoli,0,0,0,0,D,10,13,5,2,2,3,12,14,2,3,0,0,,3.45,3.71,2.16,1.72,2.22,1.98,1.94,3.2,3.5,2.2,3.67,3.68,2.26,1.79,2.23
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-28 19:45,Lecce,Empoli,1,1,1,1,D,15,9,5,3,3,5,10,5,1,2,0,0,,2.45,3.42,3.12,1.87,2.05,1.99,1.93,2.2,3.4,3.2,2.46,3.5,3.41,2.12,2.1
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-30 17:30,Sassuolo,Milan,0,0,0,0,D,8,10,3,2,3,8,14,13,5,2,0,0,,5.47,4.29,1.64,1.57,2.54,1.88,2.05,4.75,4.2,1.61,5.6,4.5,1.7,1.59,2.58
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-30 19:45,Inter,Cremonese,3,1,2,0,H,18,11,7,4,6,6,6,14,0,3,0,0,,1.16,9.52,16.85,1.33,3.46,1.96,1.94,1.16,7.0,17.0,1.18,8.9,20.0,1.37,3.6
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-30 19:45,Roma,Monza,3,0,2,0,H,14,13,7,1,5,4,10,7,0,3,0,0,,1.31,6.14,9.84,1.53,2.65,1.98,1.94,1.33,5.25,9.5,1.36,6.21,11.5,1.6,2.55
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-31 17:30,Empoli,Verona,1,1,1,0,D,16,9,4,3,7,10,5,21,0,4,0,0,,2.79,3.39,2.71,1.87,2.05,1.94,1.98,2.7,3.3,2.6,2.77,3.4,2.79,2.04,2.03
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-31 17:30,Sampdoria,Lazio,1,1,0,1,D,10,13,3,6,5,7,10,7,0,2,0,0,,4.25,3.78,1.91,1.91,2.0,2.01,1.92,4.0,3.75,1.85,4.4,3.85,1.95,1.88,2.13
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-31 17:30,Udinese,Fiorentina,1,0,1,0,H,8,12,3,2,3,7,13,9,1,2,0,0,,2.74,3.55,2.67,1.83,2.07,2.06,1.88,2.3,3.4,3.0,2.48,3.58,3.29,1.85,2.13
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-31 19:45,Juventus,Spezia,2,0,1,0,H,15,9,3,0,7,3,1,4,0,2,0,0,,1.29,5.91,11.23,1.71,2.23,1.92,2.01,1.3,5.5,10.0,1.32,5.85,12.0,1.77,2.28
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-08-31 19:45,Napoli,Lecce,1,1,1,1,D,19,9,7,4,6,4,1,3,1,4,0,0,,1.27,6.48,11.48,1.47,2.78,1.82,2.09,1.3,5.25,11.0,1.31,6.5,12.52,1.59,2.61
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-01 19:45,Atalanta,Torino,3,1,1,0,H,12,8,5,2,7,2,14,13,1,3,0,0,,1.73,3.86,5.36,1.76,2.18,1.87,2.06,1.85,3.6,4.2,1.94,3.84,4.67,1.86,2.16
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-01 19:45,Bologna,Salernitana,1,1,0,0,D,11,20,4,4,1,8,10,11,2,2,0,0,,1.91,3.6,4.49,1.81,2.09,1.84,2.1,2.15,3.25,3.5,2.19,3.55,3.97,1.97,2.03
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-03 14:00,Fiorentina,Juventus,1,1,1,1,D,17,4,5,1,10,2,13,12,1,3,0,0,,3.17,3.27,2.49,2.13,1.79,1.71,2.27,3.0,3.1,2.5,3.24,3.3,2.7,2.26,1.75
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-03 17:00,Milan,Inter,3,2,1,1,H,21,16,5,5,2,5,10,12,5,2,0,0,,2.91,3.3,2.67,1.9,2.01,1.96,1.96,2.7,3.2,2.7,2.85,3.4,2.9,1.99,2.0
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-03 19:45,Lazio,Napoli,1,2,1,1,A,8,19,2,7,6,8,12,14,4,0,0,0,,3.04,3.58,2.42,1.76,2.16,1.71,2.27,2.62,3.5,2.55,3.1,3.65,2.69,1.78,2.27
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-04 11:30,Cremonese,Sassuolo,0,0,0,0,D,10,17,0,7,2,3,16,6,1,1,0,0,,3.1,3.64,2.35,1.7,2.26,2.0,1.93,2.62,3.5,2.6,2.88,3.65,2.65,1.7,2.34
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-04 14:00,Spezia,Bologna,2,2,1,1,D,15,13,5,6,7,2,12,5,4,1,0,0,,3.18,3.24,2.5,1.93,1.98,1.9,2.03,3.1,3.25,2.3,3.34,3.33,2.49,2.01,2.03
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-04 17:00,Verona,Sampdoria,2,1,2,1,H,17,11,9,3,7,2,16,11,2,2,0,0,,2.1,3.55,3.79,1.96,1.94,2.0,1.93,2.2,3.4,3.25,2.34,3.54,3.56,2.02,1.97
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-04 19:45,Udinese,Roma,4,0,1,0,H,11,12,5,2,3,7,16,13,3,2,0,0,,4.11,3.71,1.96,1.87,2.04,1.8,2.13,3.75,3.3,2.05,4.33,3.54,2.14,2.07,1.89
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-05 17:30,Monza,Atalanta,0,2,0,0,A,11,13,3,6,4,9,9,10,1,1,0,0,,5.51,4.39,1.63,1.66,2.35,1.83,2.1,4.0,3.8,1.8,4.8,4.0,1.89,1.73,2.28
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-05 17:30,Salernitana,Empoli,2,2,1,1,D,15,11,4,5,6,7,7,9,3,2,0,0,,2.28,3.47,3.39,1.93,1.98,2.07,1.86,2.3,3.4,3.0,2.48,3.5,3.35,2.03,2.03
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-05 19:45,Torino,Lecce,1,0,1,0,H,13,10,4,2,4,4,16,8,2,1,0,0,,1.77,3.61,5.51,1.9,2.01,1.93,2.0,1.65,3.6,5.75,1.75,3.86,6.34,2.12,1.93
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-10 14:00,Napoli,Spezia,1,0,0,0,H,28,10,6,1,10,5,6,14,1,2,0,0,,1.26,6.62,11.46,1.49,2.72,2.04,1.87,1.28,6.0,9.0,1.33,6.35,11.0,1.62,2.59
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-10 17:00,Inter,Torino,1,0,0,0,H,16,9,3,7,6,5,8,17,1,2,0,0,,1.47,4.9,7.14,1.7,2.27,1.98,1.94,1.55,4.33,5.5,1.6,4.7,6.3,1.78,2.29
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-10 19:45,Sampdoria,Milan,1,2,0,1,A,10,15,4,4,2,4,12,10,5,2,0,1,,6.6,4.51,1.53,1.79,2.12,2.11,1.82,7.0,4.33,1.45,7.4,4.75,1.55,1.95,2.13
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-11 11:30,Atalanta,Cremonese,1,1,0,0,D,14,7,6,4,3,3,9,17,2,5,0,0,,1.35,5.68,9.41,1.59,2.51,2.09,1.85,1.36,5.25,8.0,1.4,5.4,9.0,1.62,2.47
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-11 14:00,Bologna,Fiorentina,2,1,0,0,H,12,13,4,2,6,8,8,13,1,4,0,1,,3.07,3.37,2.5,1.95,1.95,2.01,1.91,3.25,3.4,2.2,3.57,3.52,2.35,1.96,2.03
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-11 14:00,Lecce,Monza,1,1,0,1,D,7,2,3,1,8,5,18,22,3,3,0,0,,2.37,3.35,3.31,2.03,1.88,2.1,1.84,2.37,3.25,3.0,2.56,3.34,3.24,2.13,1.87
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-11 14:00,Sassuolo,Udinese,1,3,1,0,A,5,17,2,4,5,6,7,15,1,3,1,0,,2.73,3.59,2.65,1.71,2.25,1.96,1.96,2.62,3.5,2.6,2.75,3.57,2.72,1.92,2.22
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-11 17:00,Lazio,Verona,2,0,0,0,H,15,7,6,1,3,5,5,23,2,5,0,0,,1.61,4.35,5.74,1.7,2.27,2.06,1.88,1.61,4.2,5.0,1.68,4.4,5.6,1.7,2.53
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-11 19:45,Juventus,Salernitana,2,2,0,2,D,22,11,7,5,8,2,13,15,5,4,2,1,,1.44,4.86,8.08,1.82,2.09,2.0,1.93,1.55,3.8,6.5,1.6,4.33,7.72,1.96,2.05
football-data.co.uk,I1,Серія А,ІТАЛІЯ,2022-2023,2022-09-12 19:45,Empoli,Roma,1,2,1,1,A,20,13,3,7,7,7,13,12,3,1,1,0,,4.78,4.0,1.77,1.84,2.06,2.0,1.93,5.0,3.75,1.7,5.45,3.98,1.79,1.98,2.03
