source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-11 20:00,Nice,Lille,1,1,1,0,D,8,12,3,5,3,3,13,9,3,2,0,0,,2.63,3.47,2.83,1.93,1.97,1.79,2.14,2.45,3.5,2.9,2.62,3.56,2.99,1.98,2.06
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-12 16:00,Marseille,Reims,2,1,1,1,H,14,11,4,4,10,10,7,16,1,3,0,0,,1.73,4.04,4.89,1.81,2.08,2.01,1.92,1.95,3.75,3.8,2.01,3.94,4.7,1.99,2.07
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-12 20:00,Paris SG,Lorient,0,0,0,0,D,20,4,4,0,9,2,8,6,0,0,0,0,,1.35,5.73,8.38,1.53,2.64,1.99,1.93,1.4,4.75,7.0,1.44,5.1,8.5,1.83,2.2
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-13 12:00,Brest,Lens,3,2,1,2,H,15,10,8,2,6,8,13,15,2,3,0,1,,4.01,3.62,1.99,2.05,1.85,2.05,1.88,3.5,3.2,2.15,3.92,3.4,2.24,2.44,1.75
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-13 14:00,Clermont,Monaco,2,4,1,2,A,15,14,7,8,6,2,7,16,0,4,0,0,,3.69,3.8,2.02,1.75,2.17,1.85,2.09,3.0,3.4,2.38,3.28,3.62,2.47,1.85,2.13
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-13 14:00,Montpellier,Le Havre,2,2,0,1,D,15,12,5,4,5,2,8,12,1,2,0,0,,2.04,3.47,3.99,2.15,1.76,1.95,1.97,1.7,3.8,5.0,1.82,4.0,5.5,2.17,1.81
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-13 14:00,Nantes,Toulouse,1,2,1,0,A,9,9,4,5,7,5,14,14,2,2,0,0,,2.66,3.36,2.82,2.05,1.85,1.85,2.09,3.0,3.4,2.3,3.14,3.52,2.44,1.95,2.03
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-13 16:05,Rennes,Metz,5,1,1,1,H,29,9,14,3,5,4,7,10,0,2,0,0,,1.42,5.07,7.64,1.75,2.16,1.88,2.05,1.62,4.2,4.75,1.7,4.33,5.6,1.82,2.21
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-13 19:45,Strasbourg,Lyon,2,1,0,0,H,8,23,2,7,1,6,8,11,2,2,0,0,,2.61,3.55,2.76,1.74,2.17,1.87,2.07,2.45,3.6,2.7,2.68,3.75,2.83,1.73,2.3
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-18 20:00,Metz,Marseille,2,2,0,1,D,10,22,5,5,4,9,15,9,3,2,1,0,,4.96,4.13,1.72,1.71,2.25,1.95,1.97,4.75,4.0,1.7,5.14,4.2,1.77,1.82,2.17
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-19 18:00,Lyon,Montpellier,1,4,0,2,A,7,14,3,8,6,2,20,10,4,1,1,0,,1.72,4.25,4.67,1.6,2.44,1.93,1.99,1.85,4.0,3.6,1.94,4.25,4.0,1.53,2.7
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-19 20:00,Toulouse,Paris SG,1,1,0,0,D,8,16,2,3,5,5,8,11,0,3,0,0,,5.01,4.25,1.68,1.62,2.4,1.98,1.94,4.5,4.0,1.73,5.0,4.3,1.78,1.7,2.4
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-20 12:00,Lille,Nantes,2,0,0,0,H,18,14,8,4,7,5,8,15,0,2,1,0,,1.43,4.96,7.54,1.7,2.22,2.02,1.9,1.44,4.75,6.5,1.48,5.25,8.5,1.7,2.35
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-20 14:00,Le Havre,Brest,1,2,0,1,A,18,10,7,5,5,3,18,15,0,2,0,0,,2.82,3.22,2.76,2.27,1.68,2.01,1.92,2.8,3.1,2.75,3.02,3.14,2.83,2.67,1.56
football-data.co.uk,F1,Ліга 1,ФРАНЦІЯ,2023-2024,2023-08-20 14:00,Lorient,Nice,1,1,0,0,D,9,21,2,8,0,9,8,10,1,1,0,0,,3.49,3.52,2.19,1.99,1.9,1.93,1.98,3.3,3.25,2.25,3.59,3.5,2.35,2.25,1.81
