source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-11 18:30,Almeria,Vallecano,0,2,0,2,A,19,10,5,4,8,3,16,25,1,3,0,0,,2.62,3.3,2.96,2.19,1.75,1.86,2.07,2.63,3.2,2.75,2.8,3.28,3.03,2.37,1.71
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-11 21:00,Sevilla,Valencia,1,2,0,0,A,9,10,3,3,8,1,15,17,3,2,1,0,,1.95,3.47,4.48,2.35,1.66,1.94,1.98,1.91,3.4,4.33,1.96,3.5,4.74,2.45,1.69
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-12 16:00,Sociedad,Girona,1,1,1,0,D,15,6,2,1,4,1,22,9,2,5,0,0,,1.65,4.05,5.66,1.94,1.94,2.1,1.82,1.8,3.6,4.33,1.88,3.8,5.3,2.21,1.81
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-12 18:30,Las Palmas,Mallorca,1,1,1,0,D,5,12,2,2,3,6,11,21,3,2,0,0,,2.45,3.02,3.46,2.77,1.49,2.2,1.77,2.55,2.9,3.1,2.76,2.98,3.4,3.2,1.44
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-12 20:30,Ath Bilbao,Real Madrid,0,2,0,2,A,7,14,1,8,7,5,18,6,3,1,0,0,,3.43,3.58,2.19,1.87,2.03,1.99,1.93,3.25,3.4,2.2,3.7,3.64,2.29,2.04,2.03
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-13 16:00,Celta,Osasuna,0,2,0,1,A,11,11,1,5,7,2,11,15,1,1,0,0,,2.15,3.19,3.99,2.41,1.62,1.83,2.11,2.1,3.2,3.8,2.19,3.3,4.2,2.58,1.63
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-13 18:30,Villarreal,Betis,1,2,0,1,A,18,12,5,5,9,4,13,17,1,3,0,0,,1.81,3.98,4.43,1.75,2.17,1.96,1.96,1.7,4.0,4.5,1.8,4.2,4.9,1.78,2.23
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-13 20:30,Getafe,Barcelona,0,0,0,0,D,5,14,2,4,3,4,20,11,8,2,1,1,,6.69,4.04,1.57,2.09,1.8,1.93,1.99,6.5,4.0,1.55,7.5,4.2,1.57,2.38,1.76
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-14 18:30,Cadiz,Alaves,1,0,1,0,H,12,10,3,2,2,4,19,15,3,2,1,0,,2.25,3.08,3.86,2.75,1.49,1.94,1.98,2.25,3.0,3.75,2.35,3.1,3.95,3.1,1.47
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-14 20:30,Ath Madrid,Granada,3,1,1,0,H,14,7,6,4,3,3,15,9,3,1,0,0,,1.31,5.76,10.3,1.7,2.25,1.96,1.96,1.33,5.25,8.5,1.36,6.0,11.0,1.74,2.38
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-18 18:30,Mallorca,Villarreal,0,1,0,0,A,8,15,1,3,6,5,12,11,2,4,0,0,,3.04,3.13,2.68,2.43,1.62,1.96,1.96,2.7,3.2,2.7,2.82,3.4,2.85,2.31,1.81
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-18 20:30,Valencia,Las Palmas,1,0,0,0,H,9,7,4,1,6,4,12,6,0,0,0,0,,1.61,4.02,6.49,2.19,1.75,2.12,1.83,1.6,3.8,6.0,1.65,4.05,7.5,2.25,1.79
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-19 16:00,Sociedad,Celta,1,1,1,0,D,11,17,2,6,9,7,12,12,2,1,0,0,,1.76,3.54,5.57,2.47,1.59,1.91,2.02,1.7,3.4,6.0,1.73,3.75,6.5,2.63,1.61
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-19 18:30,Almeria,Real Madrid,1,3,1,1,A,20,24,8,9,4,5,10,13,1,0,0,0,,8.15,5.11,1.4,1.64,2.36,1.98,1.94,7.0,5.0,1.4,7.8,5.5,1.45,1.46,2.95
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-19 20:30,Osasuna,Ath Bilbao,0,2,0,2,A,18,8,7,2,5,3,9,14,1,5,1,1,,2.89,3.1,2.79,2.47,1.59,2.0,1.93,2.8,2.9,2.8,3.06,3.1,2.85,2.72,1.58
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-20 18:00,Girona,Getafe,3,0,1,0,H,7,9,6,2,3,2,11,20,2,5,0,0,,2.06,3.22,4.31,2.66,1.52,1.98,1.94,1.95,3.25,4.75,2.02,3.25,5.0,2.8,1.58
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-20 18:30,Barcelona,Cadiz,2,0,0,0,H,23,10,10,1,10,2,9,22,4,3,0,0,,1.21,6.9,14.96,1.6,2.4,2.06,1.85,1.29,5.75,10.0,1.29,6.5,14.0,1.74,2.45
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-20 20:30,Betis,Ath Madrid,0,0,0,0,D,14,5,0,1,2,7,10,8,2,1,0,0,,3.93,3.57,2.02,2.15,1.76,1.85,2.08,3.75,3.4,2.0,4.19,3.6,2.15,2.14,2.03
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-21 18:00,Alaves,Sevilla,4,3,2,2,H,14,12,7,2,4,4,14,13,1,2,0,0,,3.45,3.1,2.41,2.72,1.5,1.85,2.09,3.25,3.0,2.38,3.64,3.2,2.56,2.69,1.56
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-21 20:30,Granada,Vallecano,0,2,0,0,A,14,17,7,9,5,6,14,11,2,1,1,0,,2.68,3.09,3.03,2.46,1.59,2.03,1.89,2.88,3.1,2.63,3.12,3.2,2.94,2.49,1.66
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-25 18:30,Las Palmas,Sociedad,0,0,0,0,D,11,8,5,1,5,7,7,29,1,4,0,0,,4.23,3.36,2.04,2.48,1.6,1.97,1.95,4.33,3.3,1.91,4.75,3.4,2.0,2.59,1.58
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-25 20:30,Celta,Real Madrid,0,1,0,0,A,13,10,4,3,3,5,19,14,2,3,0,0,,4.93,3.97,1.75,1.81,2.1,1.78,2.15,4.2,3.6,1.85,5.13,4.1,1.9,1.89,2.23
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-26 18:00,Cadiz,Almeria,1,1,0,0,D,11,5,3,2,7,3,16,22,0,5,1,1,,2.24,3.44,3.44,2.14,1.76,1.85,2.08,2.15,3.3,3.6,2.2,3.52,3.88,2.24,1.86
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-26 18:30,Granada,Mallorca,3,2,1,1,H,10,10,4,5,5,3,11,27,2,7,0,0,,2.71,3.03,3.05,2.79,1.48,1.88,2.05,2.7,3.0,2.9,2.81,3.1,3.1,2.88,1.5
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-26 20:30,Sevilla,Girona,1,2,1,1,A,21,8,4,3,6,6,11,18,2,1,0,0,,2.1,3.52,3.73,1.96,1.93,1.98,1.94,1.91,3.5,4.2,2.0,3.75,4.29,2.08,1.91
football-data.co.uk,SP1,Ла Ліга,ІСПАНІЯ,2023-2024,2023-08-27 16:30,Villarreal,Barcelona,3,4,2,2,A,13,21,6,11,2,6,12,14,3,3,0,0,,3.62,3.76,2.06,1.72,2.21,1.84,2.1,3.4,3.6,2.1,3.84,3.76,2.18,1.72,2.41
