source,league_code,league,country,season,time_utc,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,referee,pinnacle_home,pinnacle_draw,pinnacle_away,pinnacle_over25,pinnacle_under25,pinnacle_ahh,pinnacle_aha,b365_home,b365_draw,b365_away,max_home,max_draw,max_away,max_over25,max_under25
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2023-2024,2023-07-28 19:30,Hamburg,Schalke 04,5,3,1,2,H,31,11,14,6,9,3,10,13,3,3,0,1,,2.43,3.81,2.83,1.53,2.63,2.14,1.78,2.38,3.8,2.63,2.5,3.84,2.84,1.51,2.88
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2023-2024,2023-07-29 12:00,Hannover,Elversberg,2,2,1,2,D,10,23,4,9,3,6,5,18,3,4,0,0,,2.12,3.88,3.34,1.66,2.31,1.96,1.94,1.95,3.75,3.6,2.19,4.09,3.83,1.63,2.53
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2023-2024,2023-07-29 12:00,Kaiserslautern,St Pauli,1,2,0,0,A,10,14,3,5,3,5,11,10,2,1,0,0,,3.19,3.5,2.33,1.83,2.05,1.81,2.11,3.1,3.1,2.45,3.29,3.43,2.5,2.47,2.0
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2023-2024,2023-07-29 12:00,Osnabruck,Karlsruhe,2,3,1,2,A,18,14,7,8,4,9,11,9,3,2,1,0,,2.94,3.75,2.38,1.65,2.34,1.98,1.93,3.1,3.8,2.15,3.28,3.84,2.32,1.63,2.47
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2023-2024,2023-07-29 12:00,Wehen,Magdeburg,1,1,0,1,D,9,11,1,3,3,2,10,18,2,3,1,0,,2.91,3.8,2.37,1.66,2.32,1.92,1.99,3.0,3.6,2.2,3.22,3.8,2.37,1.68,2.36
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2023-2024,2023-07-29 19:30,Fortuna Dusseldorf,Hertha,1,0,0,0,H,9,12,2,4,7,8,13,11,3,2,0,0,,2.32,3.59,3.13,1.76,2.16,1.87,2.04,2.05,3.6,3.25,2.2,3.74,3.47,1.77,2.25
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2023-2024,2023-07-30 12:30,Braunschweig,Holstein Kiel,0,1,0,0,A,9,15,2,4,4,10,10,13,3,1,1,0,,2.66,3.83,2.56,1.59,2.47,1.74,2.21,2.3,3.8,2.75,2.66,3.81,3.01,1.67,2.46
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2023-2024,2023-07-30 12:30,Greuther Furth,Paderborn,5,0,3,0,H,24,7,11,0,5,2,9,5,1,1,0,1,,2.46,3.71,2.85,1.65,2.33,1.9,2.0,2.55,3.6,2.63,2.61,3.7,2.74,1.7,2.41
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2023-2024,2023-07-30 12:30,Hansa Rostock,Nurnberg,2,0,1,0,H,14,18,4,7,6,6,15,13,3,4,0,0,,2.62,3.23,2.97,2.15,1.76,2.0,1.91,2.25,3.25,3.3,2.66,3.25,3.39,2.38,1.73
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2023-2024,2023-08-04 17:30,Hertha,Wehen,0,1,0,0,A,21,12,8,5,6,4,9,9,2,3,0,0,,1.57,4.43,5.89,1.7,2.24,2.14,1.78,1.65,4.33,4.75,1.67,4.45,5.6,1.71,2.28
football-data.co.uk,D2,2. Бундесліга,НІМЕЧЧИНА,2023-2024,2023-08-04 17:30,Paderborn,Osnabruck,1,1,0,0,D,15,15,5,5,7,7,11,12,1,0,0,0,,1.6,4.38,5.68,1.52,2.64,1.9,2.01,1.7,4.2,4.33,1.75,4.43,5.0,1.48,2.89
